Year,Make,Model,Variant,FuelType,Transmission,Location,Price,KMS_Driven,EMI_per_Month
2020,Renault,Kwid  ,CLIMBER 1.0 AMT Opt,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",420000,37500,7152
2022,Maruti,Ignis  ,Zeta MT Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",580000,31000,9877
2011,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",292000,66000,20864
2019,Maruti,Dzire  ,VDi,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",614000,91500,10456
2022,Tata,Punch  ,Creative Dual Tone,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",697000,39000,11869
2019,Maruti,Wagon R 1.2,ZXI AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",470000,69500,8003
2022,Maruti,XL6  ,Alpha MT Petrol,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1000000,27500,17029
2020,Maruti,Dzire  ,VXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",601000,13500,10234
2018,Nissan,Micra Active ,XV Safety Pack,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",405000,35000,6896
2019,Maruti,Swift  ,VDi,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",567000,64500,9655
2013,Hyundai,i20  ,Magna 1.4 CRDI,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",330000,112000,12551
2023,Hyundai,i20 N Line,N8 1.0 Turbo DCT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",1124000,28000,19330
2016,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",273000,43500,4879
2022,Kia,Carens  ,Luxury Plus 1.5 Diesel AT 7 STR,diesel,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1629000,36000,28015
2023,Hyundai,Grand i10 Nios,Sportz 1.0 Turbo GDI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",689000,14500,11733
2014,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",223000,69000,4965
2017,Renault,Kwid  ,1.0 RXL AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",326000,46000,5551
2014,Nissan,Micra Active ,XV,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",268000,42500,7223
2016,Audi,A6  ,35 TFSI Premium Matrix,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",2050000,63500,35256
2022,Jeep,Compass  ,Model S (O) 1.4 Petrol DCT,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",2025000,18000,34826
2018,Hyundai,i20 Active ,1.2 SX,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",629000,53000,10711
2018,Renault,Kwid  ,RXT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",338000,29000,5755
2017,Maruti,Celerio  ,ZXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",423000,10500,7203
2021,Maruti,Alto 800 ,VXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",350000,30500,6255
2016,Nissan,Micra Active ,XV Safety Pack,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",330000,96500,5619
2017,Chevrolet,Beat  ,PS Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",273000,53500,19506
2013,Hyundai,i10  ,Sportz 1.2 Kappa2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",271000,121500,7304
2021,Hyundai,Aura  ,SX 1.2 (O) Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",701000,28000,11937
2018,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",236000,121500,4217
2021,Maruti,Alto 800 ,VXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",333000,15000,5951
2019,Renault,Kwid  ,RXL,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",308000,44000,5245
2023,Maruti,XL6  ,Zeta AT Petrol,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1039000,95000,17868
2019,Maruti,Ciaz  ,Alpha Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",669000,71500,11392
2018,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",249000,116000,4450
2015,Nissan,Micra Active ,XV,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",340000,37500,6188
2017,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",405000,41500,7238
2014,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",307000,64000,6835
2023,Jeep,Compass  ,Model S (O) 1.4 Petrol DCT,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",2370000,15500,40760
2021,Jeep,Compass  ,Trailhawk (O) 2.0 4x4,diesel,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",2000000,31000,34397
2023,Toyota,Glanza  ,V,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",749000,39000,12755
2015,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",229000,114000,4295
2013,Hyundai,i10  ,Era Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",264000,65000,7116
2019,Maruti,Alto 800 ,VXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",304000,92000,5433
2017,Maruti,Swift  ,VXI (O),petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",481000,76500,8191
2019,Renault,Kwid  ,CLIMBER 1.0,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",363000,47000,6181
2017,Tata,Zest  ,XT Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",419000,59500,7135
